Name of State/ UT,Total Confirmed Cases,Cured/Discharged/Migrated,Deaths,Date,Time
Andaman and Nicobar Islands,33,33,0,11-May-20,08:00 IST (GMT+5:30)
Andhra Pradesh,1980,925,45,11-May-20,08:00 IST (GMT+5:30)
Arunachal Pradesh,1,1,0,11-May-20,08:00 IST (GMT+5:30)
Assam,63,34,2,11-May-20,08:00 IST (GMT+5:30)
Bihar,696,365,6,11-May-20,08:00 IST (GMT+5:30)
Chandigarh,169,24,2,11-May-20,08:00 IST (GMT+5:30)
Chhattisgarh,59,49,0,11-May-20,08:00 IST (GMT+5:30)
Dadar Nagar Haveli,1,0,0,11-May-20,08:00 IST (GMT+5:30)
Delhi,6923,2069,73,11-May-20,08:00 IST (GMT+5:30)
Goa,7,7,0,11-May-20,08:00 IST (GMT+5:30)
Gujarat,8194,2545,493,11-May-20,08:00 IST (GMT+5:30)
Haryana,703,300,10,11-May-20,08:00 IST (GMT+5:30)
Himachal Pradesh,55,39,2,11-May-20,08:00 IST (GMT+5:30)
Jammu and Kashmir,861,383,9,11-May-20,08:00 IST (GMT+5:30)
Jharkhand,157,78,3,11-May-20,08:00 IST (GMT+5:30)
Karnataka,848,424,31,11-May-20,08:00 IST (GMT+5:30)
Kerala,512,489,4,11-May-20,08:00 IST (GMT+5:30)
Ladakh,42,21,0,11-May-20,08:00 IST (GMT+5:30)
Madhya Pradesh,3614,1676,215,11-May-20,08:00 IST (GMT+5:30)
Maharashtra,22171,4199,832,11-May-20,08:00 IST (GMT+5:30)
Manipur,2,2,0,11-May-20,08:00 IST (GMT+5:30)
Meghalaya,13,10,1,11-May-20,08:00 IST (GMT+5:30)
Mizoram,1,1,0,11-May-20,08:00 IST (GMT+5:30)
Odisha,377,68,3,11-May-20,08:00 IST (GMT+5:30)
Puducherry,9,6,0,11-May-20,08:00 IST (GMT+5:30)
Punjab,1823,166,31,11-May-20,08:00 IST (GMT+5:30)
Rajasthan,3814,2176,107,11-May-20,08:00 IST (GMT+5:30)
Tamil Nadu,7204,1959,47,11-May-20,08:00 IST (GMT+5:30)
Telengana,1196,750,30,11-May-20,08:00 IST (GMT+5:30)
Tripura,150,2,0,11-May-20,08:00 IST (GMT+5:30)
Uttarakhand,68,46,1,11-May-20,08:00 IST (GMT+5:30)
Uttar Pradesh,3467,1653,74,11-May-20,08:00 IST (GMT+5:30)
West Bengal,1939,417,185,11-May-20,08:00 IST (GMT+5:30)
Andaman and Nicobar Islands,33,33,0,12-May-20,08:00 IST (GMT+5:30)
Andhra Pradesh,2018,975,45,12-May-20,08:00 IST (GMT+5:30)
Arunachal Pradesh,1,1,0,12-May-20,08:00 IST (GMT+5:30)
Assam,65,34,2,12-May-20,08:00 IST (GMT+5:30)
Bihar,747,377,6,12-May-20,08:00 IST (GMT+5:30)
Chandigarh,174,24,2,12-May-20,08:00 IST (GMT+5:30)
Chhattisgarh,59,53,0,12-May-20,08:00 IST (GMT+5:30)
Dadar Nagar Haveli,1,0,0,12-May-20,08:00 IST (GMT+5:30)
Delhi,7233,2129,73,12-May-20,08:00 IST (GMT+5:30)
Goa,7,7,0,12-May-20,08:00 IST (GMT+5:30)
Gujarat,8541,2780,513,12-May-20,08:00 IST (GMT+5:30)
Haryana,730,337,11,12-May-20,08:00 IST (GMT+5:30)
Himachal Pradesh,59,39,2,12-May-20,08:00 IST (GMT+5:30)
Jammu and Kashmir,879,427,10,12-May-20,08:00 IST (GMT+5:30)
Jharkhand,160,78,3,12-May-20,08:00 IST (GMT+5:30)
Karnataka,862,426,31,12-May-20,08:00 IST (GMT+5:30)
Kerala,519,489,4,12-May-20,08:00 IST (GMT+5:30)
Ladakh,42,21,0,12-May-20,08:00 IST (GMT+5:30)
Madhya Pradesh,3785,1747,221,12-May-20,08:00 IST (GMT+5:30)
Maharashtra,23401,4786,868,12-May-20,08:00 IST (GMT+5:30)
Manipur,2,2,0,12-May-20,08:00 IST (GMT+5:30)
Meghalaya,13,10,1,12-May-20,08:00 IST (GMT+5:30)
Mizoram,1,1,0,12-May-20,08:00 IST (GMT+5:30)
Odisha,414,85,3,12-May-20,08:00 IST (GMT+5:30)
Puducherry,12,6,0,12-May-20,08:00 IST (GMT+5:30)
Punjab,1877,168,31,12-May-20,08:00 IST (GMT+5:30)
Rajasthan,3988,2264,113,12-May-20,08:00 IST (GMT+5:30)
Tamil Nadu,8002,2051,53,12-May-20,08:00 IST (GMT+5:30)
Telengana,1275,800,30,12-May-20,08:00 IST (GMT+5:30)
Tripura,152,2,0,12-May-20,08:00 IST (GMT+5:30)
Uttarakhand,68,46,1,12-May-20,08:00 IST (GMT+5:30)
Uttar Pradesh,3573,1758,80,12-May-20,08:00 IST (GMT+5:30)
West Bengal,2063,499,190,12-May-20,08:00 IST (GMT+5:30)
Andaman and Nicobar Islands,33,33,0,13 May 2020,08:00 IST (GMT+5:30)
Andhra Pradesh,2090,1056,46,13 May 2020,08:00 IST (GMT+5:30)
Arunachal Pradesh,1,1,0,13 May 2020,08:00 IST (GMT+5:30)
Assam,65,39,2,13 May 2020,08:00 IST (GMT+5:30)
Bihar,831,383,6,13 May 2020,08:00 IST (GMT+5:30)
Chandigarh,187,28,3,13 May 2020,08:00 IST (GMT+5:30)
Chhattisgarh,59,54,0,13 May 2020,08:00 IST (GMT+5:30)
Dadar Nagar Haveli,1,0,0,13 May 2020,08:00 IST (GMT+5:30)
Delhi,7639,2512,86,13 May 2020,08:00 IST (GMT+5:30)
Goa,7,7,0,13 May 2020,08:00 IST (GMT+5:30)
Gujarat,8903,3246,537,13 May 2020,08:00 IST (GMT+5:30)
Haryana,780,342,11,13 May 2020,08:00 IST (GMT+5:30)
Himachal Pradesh,65,39,2,13 May 2020,08:00 IST (GMT+5:30)
Jammu and Kashmir,934,455,10,13 May 2020,08:00 IST (GMT+5:30)
Jharkhand,172,79,3,13 May 2020,08:00 IST (GMT+5:30)
Karnataka,925,433,31,13 May 2020,08:00 IST (GMT+5:30)
Kerala,524,489,4,13 May 2020,08:00 IST (GMT+5:30)
Ladakh,42,21,0,13 May 2020,08:00 IST (GMT+5:30)
Madhya Pradesh,3986,1860,225,13 May 2020,08:00 IST (GMT+5:30)
Maharashtra,24427,5125,921,13 May 2020,08:00 IST (GMT+5:30)
Manipur,2,2,0,13 May 2020,08:00 IST (GMT+5:30)
Meghalaya,13,10,1,13 May 2020,08:00 IST (GMT+5:30)
Mizoram,1,1,0,13 May 2020,08:00 IST (GMT+5:30)
Odisha,437,116,3,13 May 2020,08:00 IST (GMT+5:30)
Puducherry,13,9,1,13 May 2020,08:00 IST (GMT+5:30)
Punjab,1914,171,32,13 May 2020,08:00 IST (GMT+5:30)
Rajasthan,4126,2378,117,13 May 2020,08:00 IST (GMT+5:30)
Tamil Nadu,8718,2134,61,13 May 2020,08:00 IST (GMT+5:30)
Telengana,1326,830,32,13 May 2020,08:00 IST (GMT+5:30)
Tripura,154,2,0,13 May 2020,08:00 IST (GMT+5:30)
Uttarakhand,69,46,1,13 May 2020,08:00 IST (GMT+5:30)
Uttar Pradesh,3664,1873,82,13 May 2020,08:00 IST (GMT+5:30)
West Bengal,2173,612,198,13 May 2020,08:00 IST (GMT+5:30)
